Name;Age;Class;
DEACON, Mr Percy William ;18 ;2nd Class Passenger ;
DEAN, Mr George Fox Hopkins ;19 ;Victualling Crew ;
DEAN, Mr Bertram Frank ;25 ;3rd Class Passenger ;
DEBREUCQ, Mr Maurice Emile Victor ;18 ;Restaurant Staff ;
M. Debreucq
DEEBLE, Mr Alfred Arnold ;34 ;Victualling Crew ;
DEL CARLO, Mr Sebastiano ;29 ;2nd Class Passenger ;
DELALIC, Mr Redjo ;25 ;3rd Class Passenger ;
DENBUOY, Mr Albert Joseph ;25 ;2nd Class Passenger ;
DENKOFF, Mr Mitto ;30 ;3rd Class Passenger ;
DENNIS, Mr William ;26 ;3rd Class Passenger ;
DENNIS, Mr Samuel ;22 ;3rd Class Passenger ;
DERRETT, Mr Arthur Henry ;29 ;Victualling Crew ;
DESLANDES, Mr Percival Stainer ;38 ;Victualling Crew ;
DESVERNINE, Mr Louis Gabriel ;20 ;Restaurant Staff ;
DIBDEN, Mr William ;18 ;2nd Class Passenger ;
DīBū, Mr Ilyās ;29 ;3rd Class Passenger ;
DICKSON, Mr William ;37 ;Engineering Crew
Substitute Crew ;
DIKA, Mr Mirko ;17 ;3rd Class Passenger ;
DIMIC, Mr Jovan ;42 ;3rd Class Passenger ;
DINENAGE, Mr James Richard ;49 ;Victualling Crew ;
DINTCHEFF, Mr Valtcho ;43 ;3rd Class Passenger ;
DODD, Mr George Charles ;44 ;Victualling Crew ;
G. Dodd
DODD, Mr Edward Charles ;39 ;Engineering Crew ;
E. Dodd
DODDS, Mr Henry Watson ;27 ;Engineering Crew
Substitute Crew ;
DOHERTY, Mr William John ;22 ;3rd Class Passenger ;
DOLBY, Mr Joseph ;39 ;Victualling Crew ;
DONATI, Sig. Italo Francesco ;17 ;Restaurant Staff ;
DONOGHUE, Mr Florence Thoms ;31 ;Victualling Crew ;
DONOHOE, Miss Bridget ;21 ;3rd Class Passenger ;
DOOLY, Mr Patrick ;37 ;3rd Class Passenger ;
DORNIER, Mr Louis Auguste ;20 ;Restaurant Staff ;
DOUGHTY, Mr Walter Thomas ;22 ;Victualling Crew ;
DOUGLAS, Mr Walter Donald ;50 ;1st Class Passenger ;
W. Douglas
DOUTON, Mr William Joseph ;55 ;2nd Class Passenger ;
DOYLE, Miss Elizabeth ;28 ;3rd Class Passenger ;
DOYLE, Mr Laurence ;27 ;Engineering Crew ;
DRAZENOVIC, Mr Jozef ;33 ;3rd Class Passenger ;
DREW, Mr James Vivian ;42 ;2nd Class Passenger ;
J. Drew
DUFFY, Mr William Luke ;36 ;Engineering Crew ;
W. Duffy
DULLES, Mr William Crothers ;39 ;1st Class Passenger ;
DUNFORD, Mr William ;48 ;Victualling Crew ;
DURNIL, Mr James ;38 ;Engineering Crew ;
DWAN, Mr Frank ;66 ;3rd Class Passenger ;
F. Dwan
DYER, Mr Henry Ryland ;24 ;Engineering Crew ;
H. Dyer
DYER, Mr William Henry ;33 ;Victualling Crew ;
DYKER, Mr Adolf Fredrik ;23 ;3rd Class Passenger ;
A. Dyker
EAGLE, Mr Alfred James ;22 ;Engineering Crew ;
EASTMAN, Mr Charles ;44 ;Engineering Crew ;
EDBROOKE, Mr Francis Samuel Jacob ;23 ;Victualling Crew ;
EDE, Mr George Bulkeley ;23 ;Victualling Crew ;
G. Ede
