Name;Age;Class;
JESSOP, Miss Violet Constance ;24 ;Victualling Crew ;
V. Jessop
JEWELL, Mr Archie ;23 ;Deck Crew ;
A. Jewell
JOHANNESEN, Mr Bernt Johannes ;29 ;3rd Class Passenger ;
JOHANSSON PALMQUIST, Mr Oskar Leander ;26 ;3rd Class Passenger ;
JOHNSON, Miss Eleanor Ileen ;1 ;3rd Class Passenger ;
JOHNSON, Master Harold Theodor ;4 ;3rd Class Passenger ;
JOHNSON, Mrs Aliina Vilhelmina ;27 ;3rd Class Passenger ;
JOHNSTON, Mr James ;41 ;Victualling Crew ;
J. Johnston
JONES, Mr Thomas William ;34 ;Deck Crew ;
T. Jones
JONSSON, Mr Carl ;25 ;3rd Class Passenger ;
JOSEPH, Master Michael J. ;4 ;3rd Class Passenger ;
JOUGHIN, Mr Charles John ;33 ;Victualling Crew ;
C. Joughin
JUDD, Mr Charles Edward ;31 ;Engineering Crew ;
JUSSILA, Mr Eiriik ;32 ;3rd Class Passenger ;
KANTOR, Mrs Miriam ;24 ;2nd Class Passenger ;
KARLSSON, Mr Einar Gervasius ;21 ;3rd Class Passenger ;
E. Karlsson
KARUN, Miss Manca ;5 ;3rd Class Passenger ;
M. Karun
KARUN, Mr Franz ;39 ;3rd Class Passenger ;
F. Karun
KASPER, Mr Franz Wilhelm ;40 ;Engineering Crew ;
KEANE, Miss Nora Agnes ;46 ;2nd Class Passenger ;
N. Keane
KEEN, Mr Percy Edward ;30 ;Victualling Crew ;
KELLY, Miss Mary ;22 ;3rd Class Passenger ;
KELLY, Miss Anna Katherine ;20 ;3rd Class Passenger ;
KELLY, Mrs Fanny Maria ;49 ;2nd Class Passenger ;
KEMISH, Mr George ;22 ;Engineering Crew ;
KENNEDY, Mr John ;24 ;3rd Class Passenger ;
J. Kennedy
KENYON, Mrs Marion Estelle ;40 ;1st Class Passenger ;
KIMBALL, Mr Edwin Nelson Jr. ;42 ;1st Class Passenger ;
E. Kimball
KIMBALL, Mrs Susan Gertrude ;45 ;1st Class Passenger ;
S. Kimball
KINK, Mr Anton ;29 ;3rd Class Passenger ;
A. Kink
KINK-HEILMANN, Miss Luise Gretchen ;4 ;3rd Class Passenger ;
L. Kink-Heilmann
KINK-HEILMANN, Mrs Luise ;26 ;3rd Class Passenger ;
L. Kink-Heilmann
KNIGHT, Mr George ;48 ;Victualling Crew ;
KNOWLES, Mr Thomas ;43 ;Engineering Crew ;
T. Knowles
KREKORIAN, Mr Neshan ;25 ;3rd Class Passenger ;
KREUCHEN, Miss Emilie ;29 ;1st Class Passenger
Servant ;
E. Kreuchen
LAM, Mr Ali ;38 ;3rd Class Passenger ;
LANDERGREN, Miss Aurora Adelia ;22 ;3rd Class Passenger ;
LANG, Mr Fang ;32 ;3rd Class Passenger ;
LAROCHE, Miss Simonne Marie Anne Andrée ;3 ;2nd Class Passenger ;
